_id,pais_de_origen,sector_subsector_rama,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
3610,Federación de Rusia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
421034,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
4073,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
420058,Brasil,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,C,
4745,Italia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,C,
517301,Chile,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
516714,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
6027,Perú,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
520779,Japón,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2022,1,2022-03-01,0,0.0
165778,Israel,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
420006,Belice,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
165666,Irlanda,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
165538,India,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
163628,Costa Rica,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
163401,"Corea, República de","11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
162392,Canadá,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,C,
161451,Argentina,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
161181,Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2011,1,2011-03-01,0,0.0
7092,Suiza,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
419069,Alemania,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2019,1,2019-03-01,0,0.0
394622,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
490955,Uruguay,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
7790,Otros países,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2006,1,2006-03-01,0,0.0
393606,Singapur,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2018,1,2018-03-01,0,0.0
490314,Singapur,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
489982,Reino Unido de la Gran Bretaña e Irlanda del Norte,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
487613,Guatemala,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
486765,Estados Unidos de América,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,54.728043019999987,54.728043019999994
485506,Colombia,"11 Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",2021,1,2021-03-01,0,0.0
